rendapc,anosestudo,idade,mfa,lnrendapc,urbana,homem,perpob
355520,11,48,1,12.78133678,1,1,1
240557,5,57,0,12.39071274,1,0,0
42858,4,59,0,10.66564751,1,1,1
875001,1,68,0,13.68198013,1,1,0
507081,16,42,0,13.13642597,1,0,0
1277523,11,34,0,14.06043339,1,1,0
235001,3,62,0,12.36734486,1,1,0
320051,9,53,0,12.6762352,1,1,0
585418,11,54,0,13.28008175,1,1,1
366668,11,57,0,12.81221199,1,1,0
480334,13,42,0,13.08223724,1,1,0
359344,13,44,0,12.7920351,1,0,0
433292,8,61,0,12.97916698,1,1,1
1164584,10,70,0,13.96787453,1,1,0
652876,14,65,0,13.38914204,1,1,0
244668,13,25,1,12.40765762,1,1,0
194793,5,61,0,12.17969227,1,0,0
150001,6,34,0,11.91839695,1,0,1
530001,5,32,0,13.1806345,1,1,0
598334,11,49,0,13.30190468,1,1,0
841043,16,54,0,13.64239788,1,1,0
324126,13,34,1,12.6888876,1,1,0
510418,6,75,0,13.14298534,1,0,1
102951,16,40,0,11.5420084,1,1,0
562468,11,50,0,13.24008942,1,1,1
219445,6,46,0,12.29885674,1,0,1
500001,9,74,0,13.122365,1,1,0
230001,9,63,0,12.34583855,1,1,0
288751,11,44,1,12.57332039,1,1,0
594723,3,47,0,13.29585075,1,1,0
575001,9,44,0,13.26212692,1,1,0
128057,11,43,0,11.76023102,1,0,1
383334,11,55,0,12.8566618,1,1,1
456001,11,55,0,13.03025055,1,1,1
1295834,5,56,0,14.07466507,1,0,0
690001,16,79,0,13.44444847,1,1,0
329543,11,33,0,12.70546246,1,1,1
625001,14,55,0,13.34550858,1,1,0
175281,13,32,1,12.07414532,1,0,1
295001,11,44,0,12.59473419,1,1,0
660001,13,83,0,13.39999676,1,1,0
1150001,8,48,0,13.95527363,1,1,0
437029,12,27,0,12.98775482,1,0,1
886072,11,34,0,13.69455338,1,0,0
187501,7,59,0,12.14153957,1,1,0
150001,14,29,0,11.91839695,1,0,0
600001,9,58,0,13.30468655,1,0,1
749001,11,36,1,13.52649593,1,1,0
361501,2,67,1,12.79802036,1,0,0
136668,5,52,0,11.82530975,1,1,1
304168,2,75,0,12.62533569,1,0,0
50001,7,49,0,10.81979847,1,1,0
603668,11,44,0,13.31077957,1,1,0
475001,5,52,0,13.07107258,1,1,0
155501,3,48,0,11.95440769,1,1,0
1110001,12,30,0,13.91987133,1,0,0
321001,11,37,0,12.67919922,1,1,0
483057,14,28,0,13.08788967,1,1,0
239501,1,68,1,12.38631248,1,1,1
494112,13,32,1,13.1105175,1,1,0
840972,13,45,0,13.64231396,1,1,0
1820834,14,59,0,14.41480541,1,1,0
1166668,11,49,0,13.96966267,1,1,1
700001,11,63,0,13.45883751,1,0,0
766647,0,75,0,13.5497818,1,0,0
366668,3,57,0,12.81221199,1,0,0
887709,13,59,0,13.69639969,1,0,0
2189584,16,46,0,14.59922218,1,0,1
2744445,16,57,0,14.82508945,1,0,0
422801,7,86,0,12.9546566,1,1,0
473612,11,59,0,13.06814384,1,1,0
