rural,mulher,anos_est,rndpcap,meanrndpcap,sufrnd
0,0,0,251.93,291.0228947,1
0,0,10,252.2233333,651.0332143,0
1,0,8,252.5,273.712,1
0,1,11,253.1175,423.8047727,1
0,0,11,253.14,487.0973684,0
0,0,12,253.242,317.7251351,0
1,1,0,253.2533333,563.237561,0
1,0,4,253.5375,582.9834783,0
1,1,1,254.4125,411.1992308,0
0,1,8,254.9871429,685.6504762,1
0,1,9,255.82,627.1007317,0
0,0,5,256,1333.755,0
1,0,4,256.3266667,838.3386765,0
1,0,4,256.736,411.1992308,0
0,1,7,256.825,416.7542424,0
1,0,11,256.895,1612.686102,0
0,0,5,257.466,594.8609091,0
0,0,8,257.872,707.3438889,0
1,0,0,258.248,1011.248261,0
0,0,5,258.6666667,416.7542424,0
0,0,1,258.7,1871.069286,0
0,0,3,258.79,707.3438889,0
0,0,0,260.24,510.5392857,0
0,0,9,260.3916667,1207.043256,0
0,0,5,260.5171429,467.1111111,0
0,1,9,260.5733333,885.2687234,0
0,1,1,260.6875,548.2905556,0
1,1,4,260.97,740.7088235,0
0,1,4,261.1533333,603.7085714,0
0,0,4,261.205,1239.446316,0
1,0,0,261.425,273.712,0
0,0,8,262.2033333,629.9636364,0
0,0,3,262.67,581.6348148,0
0,1,4,262.975,579.8978125,1
0,0,4,263,317.7251351,1
0,0,4,263.08,487.0973684,0
0,0,0,263.0825,402.0349153,0
0,0,8,263.18,541.0827778,0
1,0,3,263.28,804.9061429,0
0,1,11,263.9133333,736.2497368,0
0,0,9,264.06,686.9541176,0
0,0,8,264.1366667,949.5315789,0
0,1,11,264.6,568.2389655,0
0,0,8,264.674,497.7760465,0
1,0,3,264.8,718.9960345,0
0,0,6,264.98,690.4014286,0
0,0,7,265.05,541.0827778,0
1,0,3,265.8675,527.8295918,1
1,1,6,266.125,495.0122951,0
0,0,11,266.51,596.2365854,0
1,0,2,266.565,652.6279592,0
0,1,11,266.582,788.6968,0
1,0,0,266.655,807.2419149,0
0,1,1,266.9866667,495.635641,0
1,0,4,267.575,884.7490244,0
1,0,1,267.726,411.1992308,0
1,0,8,267.8933333,554.9977358,0
0,0,8,268.526,574.0725806,1
1,0,8,268.9,391.2131579,0
0,0,4,268.975,606.5910714,1
1,0,1,269.872,574.977963,0
0,0,9,270.176,758.31625,0
1,0,5,270.3933333,554.9977358,0
0,0,9,270.6416667,835.9210811,0
0,0,4,270.72,1410.529773,0
1,0,7,270.7833333,495.0122951,0
1,0,7,270.7833333,495.0122951,0
0,0,3,270.8133333,596.5957143,0
0,0,7,271.11,442.4744737,0
1,0,11,271.5566667,627.1180303,0
1,0,3,271.635,423.0136585,0
0,0,3,271.72,1552.516538,0
0,1,11,272.306,1413.027436,0
0,1,4,272.954,478.6689474,0
0,0,4,273.1225,487.0973684,0
0,0,0,273.2075,267.5275926,0
1,0,4,274.384,444.4342105,1
0,0,8,274.6075,509.6545,0
0,0,12,275.05,968.53875,1
0,0,4,275.2975,556.1836364,0
1,1,0,275.31,579.2511111,0
1,0,2,275.455,575.394,0
0,0,0,275.8583333,627.1007317,0
0,1,10,276.105,495.635641,0
1,0,11,276.835,798.4366667,0
0,0,0,276.94,677.26,0
1,0,12,276.97,798.4366667,0
0,1,7,277.245,766.148,0
1,0,2,277.3,527.8295918,0
1,0,1,277.6,419.5996296,0
0,0,11,277.8425,388.5253623,0
1,0,4,278.21,659.6204839,0
0,1,11,278.82,645.2675676,1
0,0,3,278.9125,583.2331915,0
0,0,11,279.25,567.1062069,0
0,1,13,279.3833333,495.635641,0
0,0,11,279.6257143,686.4529268,0
1,0,3,279.7633333,489.2359615,0
0,0,5,280.618,519.7508511,0
0,1,8,280.9622222,423.8047727,0
1,1,11,282.3166667,579.2511111,0
0,0,4,283.105,365.8461364,0
0,0,4,283.1875,968.53875,0
0,1,11,283.25,1845.036774,0
0,1,4,283.495,722.2689362,0
0,0,1,283.9175,665.9080488,0
1,0,6,284.375,627.1180303,0
0,0,8,284.64,1052.895588,0
0,0,4,284.8,594.8609091,0
1,0,5,284.9375,575.394,0
1,0,5,285.0966667,835.1365957,0
1,0,4,285.302,807.2419149,0
0,0,7,285.59,495.635641,0
0,0,10,285.9716667,1013.342667,0
1,1,11,286.25,699.1070423,0
0,0,7,286.6733333,409.7105714,0
0,0,1,286.8,567.1062069,0
1,0,8,287.17,662.9639535,0
0,1,11,287.1833333,1372.231786,0
0,0,4,287.205,442.4744737,0
0,0,1,287.5733333,510.5392857,1
0,0,11,288.25,639.7505263,0
0,0,9,288.255,620.0084211,0
0,0,3,288.47,452.7571111,0
1,1,10,288.82,838.8316071,0
0,1,13,288.9,606.5910714,0
0,0,3,289.14,567.1062069,0
0,1,11,289.32,365.8461364,0
0,0,4,289.53,865.4326471,0
0,0,2,289.792,478.6689474,0
0,0,9,289.855,409.7105714,0
1,0,6,289.8566667,753.1506383,0
0,1,7,290.1,883.9934286,0
1,0,7,290.6,563.237561,0
1,0,4,292.1333333,804.9061429,0
1,1,4,292.1766667,489.2359615,1
0,1,11,292.66,763.4109756,0
